ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
95;481800;83;2001: A Space Odyssey (1968);149;Adventure, Sci-Fi;"Keir Dullea; Gary Lockwood; William Sylvester"
96;745833;83;Reservoir Dogs (1992);99;Crime, Thriller;"Harvey Keitel; Tim Roth; Michael Madsen"
97;113334;83;Taare Zameen Par (2007);;;
98;623645;83;A Clockwork Orange (1971);136;Crime, Sci-Fi;"Malcolm McDowell; Patrick Magee; Michael Bates"
99;1004190;83;Inglourious Basterds (2009);153;Adventure, Drama, War;"Brad Pitt; Diane Kruger; Eli Roth"
100;639501;83;Requiem for a Dream (2000);102;Drama;"Ellen Burstyn; Jared Leto; Jennifer Connelly"
101;111762;83;M (1931);99;Crime, Mystery, Thriller;"Peter Lorre; Ellen Widmann; Inge Landgut"
102;704806;83;Toy Story (1995);81;Animation, Adventure, Comedy;"Tom Hanks; Tim Allen; Don Rickles"
103;80699;83;The Kid (1921);68;Comedy, Drama, Family;"Charles Chaplin; Edna Purviance; Jackie Coogan"
104;453989;83;L.A. Confidential (1997);138;Crime, Drama, Mystery;"Kevin Spacey; Russell Crowe; Guy Pearce"
105;110821;83;Double Indemnity (1944);107;Crime, Drama, Film-Noir;"Fred MacMurray; Barbara Stanwyck; Edward G. Robinson"
106;108837;83;Ladri di biciclette (1948);;;
107;775825;83;Star Wars: Episode VI - Return of the Jedi (1983);131;Action, Adventure, Fantasy;"Mark Hamill; Harrison Ford; Carrie Fisher"
108;817912;83;Braveheart (1995);178;Biography, Drama, War;"Mel Gibson; Sophie Marceau; Patrick McGoohan"
109;256619;83;3 Idiots (2009);170;Comedy, Drama;"Aamir Khan; Madhavan; Mona Singh"
110;308492;82;Unforgiven (1992);130;Drama, Western;"Clint Eastwood; Gene Hackman; Morgan Freeman"
111;77314;82;The Gold Rush (1925);95;Adventure, Comedy, Drama;"Charles Chaplin; Mack Swain; Tom Murray"
112;51733;82;Judgment at Nuremberg (1961);179;Drama, War;"Spencer Tracy; Burt Lancaster; Richard Widmark"
113;51786;82;Babam ve Oglum (2005);;;
114;549243;82;Blade Runner (1982);117;Action, Drama, Sci-Fi;"Harrison Ford; Rutger Hauer; Sean Young"
115;372920;82;Casino (1995);178;Crime, Drama;"Robert De Niro; Sharon Stone; Joe Pesci"
116;50583;82;"""11.22.63"" (2016)";60;Drama, Mystery, Romance;"James Franco; Sarah Gadon; George MacKay"
117;48555;82;Ikiru (1952);143;Drama;"Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori"
118;451282;82;Inside Out (2015/I);;;
119;455613;82;Lock, Stock and Two Smoking Barrels (1998);107;Comedy, Crime;"Jason Flemyng; Dexter Fletcher; Nick Moran"
120;519161;82;El laberinto del fauno (2006);26;Documentary, Short, Fantasy;"Álex Angulo; Ivana Baquero; Eugenio Caballero"
121;476332;82;Heat (1995);170;Action, Crime, Drama;"Al Pacino; Robert De Niro; Val Kilmer"
122;38984;82;Bacheha-Ye aseman (1997);;;
123;1089733;82;Batman Begins (2005);140;Action, Crime, Drama;"Christian Bale; Michael Caine; Ken Watanabe"
124;574150;82;Indiana Jones and the Last Crusade (1989);127;Action, Adventure;"Harrison Ford; Sean Connery; Alison Doody"
125;754724;82;Up (2009);96;Animation, Adventure, Comedy;"Edward Asner; Jordan Nagai; John Ratzenberger"
126;251090;82;Room (2015/I);;;
127;276161;82;Der Untergang (2004);58;Documentary;"Rainer Klausmann; Bernd Lepel; Christine Rothe"
128;166597;82;The Bridge on the River Kwai (1957);161;Adventure, Drama, War;"William Holden; Alec Guinness; Jack Hawkins"
129;152386;82;El secreto de sus ojos (2009);;;
130;692444;82;A Beautiful Mind (2001);135;Biography, Drama, Mystery;"Russell Crowe; Ed Harris; Jennifer Connelly"
